 table_schema |             table_name              |         column_name          |          data_type          | character_maximum_length 
 nspprod      | data_applicant_registration_details | branch_ifsc_code             | character varying           |                       11
 nspprod      | data_applicant_registration_details | bank_account_no              | character varying           |                       25
 nspprod      | data_applicant_registration_details | pfms_code                    | character varying           |                       25
 nspprod      | data_applicant_registration_details | bioauth_doc_path             | character varying           |                      100
 nspprod      | data_applicant_registration_details | jwt                          | character varying           |                         
 nspprod      | data_applicant_registration_details | scholarship_incentive        | character varying           |                        1
 nspprod      | data_applicant_registration_details | payment_stoped               | character varying           |                        2
 nspprod      | data_applicant_registration_details | permanent_address            | character varying           |                      200
 nspprod      | data_applicant_registration_details | payment_sent                 | character                   |                        1
 nspprod      | data_applicant_registration_details | email_id                     | character varying           |                      100
 nspprod      | data_applicant_registration_details | bank_name                    | character varying           |                      120
 nspprod      | data_applicant_registration_details | application_id               | character varying           |                       20
 nspprod      | data_applicant_registration_details | r_pfms_payment_status        | character varying           |                      255
 nspprod      | data_applicant_registration_details | updated_by                   | character varying           |                      100
 nspprod      | data_applicant_registration_details | benif_status                 | character varying           |                       50
 nspprod      | data_applicant_registration_details | created_by                   | character varying           |                         
 nspprod      | data_applicant_registration_details | benif_error_code             | character                   |                        7
 nspprod      | data_applicant_registration_details | benif_rej_reason_code        | character varying           |                     1024
 nspprod      | data_applicant_registration_details | account_holder_type          | character                   |                        1
 nspprod      | data_applicant_registration_details | benif_rej_reson_desc         | character varying           |                     2048
 nspprod      | data_applicant_registration_details | pay_method                   | character                   |                        1
 nspprod      | data_applicant_registration_details | trans_id                     | character varying           |                      100
 nspprod      | data_applicant_registration_details | hash_dob                     | character varying           |                      256
 nspprod      | data_applicant_registration_details | red_flag                     | character varying           |                        1
 nspprod      | data_applicant_registration_details | payment_transaction_id       | character varying           |                      255
 nspprod      | data_applicant_registration_details | ration_card_no               | character varying           |                       15
 nspprod      | data_applicant_registration_details | inst_verify                  | character varying           |                        1
 nspprod      | data_applicant_registration_details | payment_status               | character varying           |                       50
 nspprod      | data_applicant_registration_details | ip_address                   | character varying           |                       50
 nspprod      | data_applicant_registration_details | application_status           | character varying           |                        3
 nspprod      | data_applicant_registration_details | payment_error_code           | character                   |                        7
 nspprod      | data_applicant_registration_details | pfms_ben_code                | character varying           |                      255
 nspprod      | data_applicant_registration_details | payment_rej_reason_code      | character varying           |                     1024
 nspprod      | data_applicant_registration_details | dist_verify                  | character varying           |                        1
 nspprod      | data_applicant_registration_details | payment_rej_reason_desc      | character varying           |                     2048
 nspprod      | data_applicant_registration_details | ration_card_member_no        | character varying           |                       15
 nspprod      | data_applicant_registration_details | state_verify                 | character varying           |                        1
 nspprod      | data_applicant_registration_details | dist_document_verify         | character varying           |                        1
 nspprod      | data_applicant_registration_details | inst_document_verify         | character varying           |                        1
 nspprod      | data_applicant_registration_details | name_as_in_ration_card       | character varying           |                      250
 nspprod      | data_applicant_registration_details | min_verify                   | character varying           |                       10
 nspprod      | data_applicant_registration_details | aadhaar_vault_ref_token      | character varying           |                       15
 nspprod      | data_applicant_registration_details | delete_record                | character                   |                        1
 nspprod      | data_applicant_registration_details | payment_batch_id             | character varying           |                       20
 nspprod      | data_applicant_registration_details | admission_no                 | character varying           |                       25
 nspprod      | data_applicant_registration_details | delete_ip_address            | character varying           |                       20
(134 rows)

